Z =0.46776554
norm_productive =0.0826165160609539
min_energy_clip =-5
max_energy_clip =10
likelihood_train,likelihood_test
0.4532698917388916,0.7450120067596435
0.8829074192047118,0.9830642795562744
1.0644042205810547,1.1160416793823242
1.179389190673828,1.2087154769897461
1.2629080295562745,1.278709030151367
1.3274139976501464,1.3356870460510253
1.3791743659973144,1.3803783988952636
1.4213604927062988,1.41881441116333
1.458310604095459,1.4497513961791992
1.4879584121704101,1.4782822036743164
1.515241584777832,1.501666259765625
1.538385829925537,1.5213716125488281
1.558007926940918,1.5378238105773925
1.5748487663269042,1.5523784637451172
1.5885336112976074,1.5656899452209472
1.6016260528564452,1.5754373931884764
1.6139111709594727,1.5846911430358885
1.6228020286560059,1.593464412689209
1.630909423828125,1.5992533493041992
1.636900062561035,1.6051844215393065
1.6433922958374023,1.6107426452636717
1.6489395332336425,1.6143315696716307
1.6543763923645018,1.6185999298095703
1.6581496810913086,1.6213423919677734
1.6616831588745116,1.6241823577880858
1.6646305847167968,1.6273513984680175
1.6674660873413085,1.6317428398132323
1.671184616088867,1.6313785743713378
1.673122673034668,1.632839412689209
1.6762834739685057,1.6347443389892578
