Z =3.549693734092965
norm_productive =0.1881964164265482
min_energy_clip =-6.294048040798222
max_energy_clip =8.705951959201778
likelihood_train,likelihood_test
0.48555253028869627,0.7177347564697265
0.8172040271759032,0.8935209846496581
0.9426282405853271,0.9817703819274902
1.0113313293457031,1.0343447685241698
1.0537605285644531,1.0669568252563477
1.0824209403991698,1.0903672313690185
1.1029103565216063,1.1072454071044922
1.1176401901245117,1.120651216506958
1.1293528175354004,1.1310905456542968
1.1391485881805419,1.1383693313598633
1.1461900520324706,1.1456766986846922
1.1526877784729004,1.1506985664367675
1.157670078277588,1.1554750442504882
1.1620815181732178,1.1599760055541992
1.165934886932373,1.163178777694702
1.1683834648132323,1.165206184387207
1.1711947631835937,1.1679355144500732
1.1730492210388184,1.1705220222473145
1.1758721923828124,1.1717980670928954
1.1773854732513427,1.173768138885498
1.1787214279174805,1.1743901538848875
1.1804147815704344,1.175391025543213
1.1812994384765625,1.1778923892974853
1.1820944023132325,1.1781958007812499
1.183807497024536,1.1786757659912108
1.183628797531128,1.180002794265747
1.184744939804077,1.1809259891510009
1.185481023788452,1.1812984943389893
1.1870941257476806,1.1821150875091553
1.1871234798431396,1.1833196353912354
1.1874117851257324,1.1838280963897705
1.1882621097564696,1.1837909317016602
1.1891847038269043,1.1849117946624756
1.1893292427062987,1.1846946430206298
1.1899037075042724,1.1848706817626953
1.1904843521118165,1.1856392097473145
1.190622797012329,1.1859084606170653
1.1908416652679443,1.1874272346496582
1.1913815402984618,1.1865955352783202
1.1915081405639647,1.186774320602417
1.1922991561889649,1.1867431640625
1.1920355701446532,1.1886736679077148
1.1930834770202636,1.188050365447998
1.1925069522857665,1.1889393138885498
1.193077383041382,1.188141689300537
1.193728666305542,1.188510160446167
1.1934728908538819,1.1893416023254395
1.1939671897888182,1.1908234691619872
1.1934837055206298,1.1894845104217528
1.193715190887451,1.1908961677551269
1.1947927951812745,1.1901544189453124
1.1945369338989258,1.1896000385284424
1.19482403755188,1.1905996227264404
1.1954545497894287,1.1916656398773193
1.1960099601745604,1.1905979919433594
1.1958208751678467,1.191298713684082
1.1959597492218017,1.1919653606414795
1.1959607791900635,1.1924767398834228
1.1969154739379881,1.19210844039917
1.196010389328003,1.1922890281677245
1.1964616012573241,1.1931130027770995
1.1967065620422364,1.1923910808563232
1.1972850608825683,1.192585916519165
1.197595510482788,1.192999277114868
1.19757173538208,1.1932037258148194
1.1971543407440186,1.1929440021514892
1.1971199226379394,1.1933395099639892
1.197784080505371,1.1945147037506103
1.1980436325073243,1.1935594940185545
1.1983702182769775,1.1941356754302979
1.1983242988586424,1.1942481994628906
1.1980807971954346,1.19392822265625
1.198441972732544,1.1941600513458253
1.1986126899719238,1.1933604526519774
1.198816623687744,1.1945256900787353
1.1990119743347167,1.1949716663360594
1.1992836284637451,1.194839916229248
1.1986188697814941,1.1955840682983399
1.1991300773620606,1.1953246021270751
1.1994126319885254,1.195762939453125
1.1990944576263427,1.1956674098968505
1.199873285293579,1.1956040668487549
1.1996375942230224,1.195545015335083
1.1997118377685547,1.1952788543701172
1.1996035194396972,1.1958334064483642
1.2004125595092774,1.1952310466766356
1.199798355102539,1.1954226207733154
1.2002419281005858,1.1965069198608398
1.200711851119995,1.195951681137085
1.20028338432312,1.196522970199585
1.2010164642333985,1.1970406150817872
1.2008441162109376,1.1954377269744874
1.2004177951812744,1.1973214530944825
1.2010568904876708,1.1971140003204346
1.2011728477478028,1.1970905685424804
1.2010264205932617,1.1954724025726318
1.2005748653411865,1.1973466873168945
1.201388111114502,1.1963093376159668
1.2011942195892333,1.1962859058380126
1.201559944152832,1.1978178119659424
